component	drawable
ComponentInfo{com.cyanogenmod.eleven/com.cyanogenmod.eleven.ui.activities.HomeActivity}	music
ComponentInfo{com.android.music/com.android.music.MusicBrowserActivity}	music
ComponentInfo{com.android.music/com.android.music.activitymanagement.TopLevelActivity}	music
ComponentInfo{com.android.music/com.android.music.ui.MusicBrowserActivity}	music
ComponentInfo{com.android.music/com.android.music.MusicScanResultActivity}	music
ComponentInfo{com.htc.music/com.htc.music.browserlayer.MusicBrowserTabActivity}	music
ComponentInfo{com.meizu.media.music/com.meizu.media.music.MusicActivity}	music
ComponentInfo{com.sonyericsson.music/com.sonyericsson.music.MusicActivity}	music
ComponentInfo{com.android.mediacenter/com.android.mediacenter.PageActivity}	music
ComponentInfo{com.oppo.music/com.oppo.music.UnsupportCheckActivity}	music
ComponentInfo{com.oppo.music/com.nearme.music.splash.SplashActivity}	music
ComponentInfo{com.oppo.music/com.allsaints.music.ui.splash.SplashActivity}	music
ComponentInfo{com.nbc.music/com.nbc.music.MusicBrowserActivity}	music
ComponentInfo{com.sec.android.app.music/com.sec.android.app.music.common.activity.MusicMainActivity}	music
ComponentInfo{com.heytap.music/com.nearme.music.splash.SplashActivity}	music
ComponentInfo{com.heytap.music/com.allsaints.music.ui.splash.SplashActivity}	music
ComponentInfo{com.heytap.music/com.allsaints.music.SplashActActivity}	music
ComponentInfo{com.heytap.music/com.allsaints.music.SplashDefaultActivity}	music
ComponentInfo{com.smartisanos.music/com.smartisanos.music.activities.MusicMain}	music
ComponentInfo{com.banqu.samsung.music/com.banqu.music.WelcomeActivity}	music
ComponentInfo{com.huawei.music/com.android.mediacenter.PageActivity}	music
ComponentInfo{com.android.bbkmusic/com.android.bbkmusic.WidgetToTrackActivity}	music
ComponentInfo{org.lineageos.eleven/org.lineageos.eleven.ui.activities.HomeActivity}	music
ComponentInfo{com.lge.music/com.lge.music.MusicBrowserActivity}	music
ComponentInfo{org.calyxos.eleven/org.lineageos.eleven.ui.activities.HomeActivity}	music
:SMS	sms
ComponentInfo{com.android.mms/com.android.mms.ui.MmsTabActivity}	sms
ComponentInfo{com.android.messaging/com.android.messaging.ui.conversationlist.ConversationListActivity}	sms
ComponentInfo{com.mms.ics.ext/com.mms.ics.ext.ui.ConversationList}	sms
ComponentInfo{com.android.mms/com.android.mms.ui.ConversationList}	sms
ComponentInfo{com.android.mms/com.android.mms.MainUISelection}	sms
ComponentInfo{com.android.mms/com.android.mms.MultipleActivitiesMain}	sms
ComponentInfo{com.android.mms/com.android.mms.ui.ConversationComposer}	sms
ComponentInfo{com.android.mms/com.android.mms.ui.MainLayerTabSwitchActivity}	sms
ComponentInfo{com.android.mms/com.android.mms.ui.ModeActivity}	sms
ComponentInfo{com.android.mms/com.android.mms.ui.UiController}	sms
ComponentInfo{com.android.mms/com.android.mms.ui.ViewControllerActivity}	sms
ComponentInfo{com.android.mms/com.android.mms.ui.VissageActivity}	sms
ComponentInfo{com.android.mms/com.android.mms.ui.MessageTabActivity}	sms
ComponentInfo{com.android.mms/com.yulong.android.mms.ui.MmsMainListFormActivity}	sms
ComponentInfo{com.android.mms/com.android.mms.ui.BootActivity}	sms
ComponentInfo{com.android.mms/com.yulong.android.contacts.dial.DialActivity}	sms
ComponentInfo{com.htc.sense.mms/com.htc.sense.mms.ui.ConversationList}	sms
ComponentInfo{com.samsung.android.messaging/com.android.mms.ui.ConversationComposer}	sms
ComponentInfo{com.zui.mms/com.fancymaker.mms.ui.XuiMmsMainActivity}	sms
ComponentInfo{com.sonyericsson.conversations/com.sonyericsson.conversations.ui.ConversationListActivity}	sms
ComponentInfo{com.google.android.apps.messaging/com.google.android.apps.messaging.ui.ConversationListActivity}	sms
ComponentInfo{com.oneplus.mms/com.android.mms.ui.ConversationList}	sms
ComponentInfo{com.fm.mms.sony/com.android.messaging.ui.conversationlist.ConversationListActivity}	sms
ComponentInfo{com.google.android.apps.messaging/com.google.android.apps.messaging.main.MainActivity}	sms
ComponentInfo{com.android.thememanager/com.android.thememanager.ThemeResourceTabActivity}	themes
ComponentInfo{com.nearme.themespace/com.nearme.themespace.activities.ThemeActivity}	themes
ComponentInfo{ru.deishelon.lab.thememanager/ru.deishelon.lab.thememanager.ui.activities.ThemesActivity}	themes
ComponentInfo{com.huawei.android.thememanager/com.huawei.android.thememanager.HwThemeManagerActivity}	themes
ComponentInfo{com.samsung.android.themestore/com.samsung.android.themestore.activity.Launcher}	themes
ComponentInfo{com.heytap.themestore/com.nearme.themespace.activities.ThemeActivity}	themes
ComponentInfo{com.heytap.themestore/com.nearme.themespace.AliasOneThemeActivity}	themes
ComponentInfo{com.meizu.customizecenter/com.meizu.customizecenter.frame.activity.CustomizeCenterActivity}	themes
ComponentInfo{com.huawei.android.thememanager/com.huawei.android.thememanager.mvp.view.activity.onlinebase.PageActivity}	themes
ComponentInfo{com.bbk.theme/com.bbk.theme.Theme}	themes
ComponentInfo{com.motorola.moto.overlay.personalizelauncher/com.motorola.moto.overlay.personalizelauncher.LauncherActivity}	themes
ComponentInfo{com.motorola.personalize/com.motorola.personalize.app.LaunchActivity}	themes
ComponentInfo{com.zte.beautify/com.zte.beautify.view.beauty.splashscreen.LogoActivity}	themes
